make_model,make,location,price,body_type,type,doors,warranty,mileage,gearbox,fuel_type,paint,seller,seats,power,gears,co_emissions,drivetrain,full_service_history,non_smoker_vehicle,emission_class,upholstery,previous_owner,age,fuel_consumption_comb,entertainment_media_count,engine_size_cat,safety_security_category,extras_category,comfort_convenience_cat
Mercedes Benz A 180,Mercedes Benz,ES,27900,Compact,Used,5.0,Yes,19785.0,Automatic,Benzin,non-metallic,Dealer,5.0,100.0,7.0,98.0,Front,No,No,Euro 6,Leather,First Hand,1.0,5.3,Standart,Medium,Middle,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,33900,Compact,Used,5.0,Yes,35758.0,Automatic,Diesel,non-metallic,Dealer,5.0,110.0,8.0,119.0,Front,No,No,Euro 6,Leather,First Hand,2.0,4.1,Standart,Medium,Premium,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,BE,64999,Compact,Used,5.0,No,30273.0,Automatic,Benzin,non-metallic,Dealer,5.0,310.0,8.0,183.0,4WD,No,No,Euro 6,Leather,First Hand,2.0,8.4,Standart,Medium,Premium,standard,standard
Mercedes Benz V 220,Mercedes Benz,ES,37900,Compact,Used,5.0,Yes,126000.0,Manual,Diesel,non-metallic,Dealer,5.0,120.0,9.0,101.0,Front,No,No,Euro 6,Cloth,Second Hand,6.0,6.2,Standart,Medium,Middle,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,27490,Compact,Used,5.0,Yes,91754.0,Automatic,Diesel,non-metallic,Dealer,5.0,85.0,7.0,103.0,Front,No,No,Euro 6,Leather,First Hand,3.0,4.6,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,DE,24780,Compact,Used,5.0,No,46403.0,Automatic,Benzin,non-metallic,Dealer,5.0,90.0,7.0,130.0,Front,Yes,Yes,Euro 6,Cloth,Second Hand,4.0,5.5,Standart,Medium,Premium,standard,luxury
Mercedes Benz A 180,Mercedes Benz,DE,9770,Compact,Used,5.0,No,49658.0,Manual,Benzin,Metallic,Dealer,5.0,85.0,5.0,156.0,Front,No,Yes,Euro 5,Cloth,Second Hand,10.0,6.6,Standart,Medium,Premium,standard,standard
Mercedes Benz A 150,Mercedes Benz,ES,6990,Compact,Used,5.0,No,135000.0,Manual,Benzin,non-metallic,Dealer,5.0,70.0,5.0,139.0,Front,No,No,Euro 6,Other,Second Hand,14.0,6.2,Standart,Medium,Middle,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,7000,Compact,Used,5.0,No,96000.0,Manual,Benzin,Metallic,Dealer,5.0,100.0,5.0,179.0,Front,No,No,Euro 4,Leather,Second Hand,17.0,7.2,Standart,Medium,Middle,standard,standard
Mercedes Benz A 250,Mercedes Benz,ES,33999,Compact,Used,5.0,Yes,12265.0,Automatic,Benzin,non-metallic,Dealer,5.0,160.0,7.0,99.0,4WD,No,No,Euro 6,Leather,First Hand,2.0,6.7,Standart,Medium,Basic,standard,standard
